route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
route_31,agency_1,"1","1",,900,,,
route_46,agency_1,"22","22",,900,,,
route_53,agency_1,"62","62",,900,,,
route_55,agency_1,"3","3",,900,,,
route_56,agency_1,"69","69",,900,,,
route_58,agency_1,"9","9",,900,,,
route_59,agency_1,"11","11",,900,,,
route_63,agency_1,"50","50",,900,,,
route_69,agency_1,"18","18",,900,,,
route_70,agency_1,"52","52",,900,,,
route_147,agency_1,"75","75",,900,,,
route_698,agency_1,"21","21",,900,,,
route_736,agency_1,"76","76",,900,,,
route_755,agency_1,"74","74",,900,,,
route_807,agency_1,"8","8",,900,,,
route_808,agency_1,"13","13",,900,,,
route_809,agency_1,"20","20",,900,,,
route_942,agency_1,"5","5",,900,,,
route_943,agency_1,"14","14",,900,,,
route_944,agency_1,"49","49",,900,,,
route_956,agency_1,"10","10",,900,,,
route_957,agency_1,"16","16",,900,,,
route_958,agency_1,"17","17",,900,,,
